Latitude,Longitude,State,Month,Pollutant,Concentration,Concentration_Scaled,Concentration_Standardize
64.73167,-152.47,Alaska,2024-12,NO,42.05038947826087,0.469707164288256,4.03561533079466
34.56667,-111.85611,Arizona,2024-01,NO,10.37775294957983,0.1151356822366726,0.6142931954761257
34.56667,-111.85611,Arizona,2024-02,NO,6.212424775862068,0.0685053178068306,0.1643486678488904
34.56667,-111.85611,Arizona,2024-03,NO,3.726158814516129,0.0406718595505044,-0.1042212303387458
34.56667,-111.85611,Arizona,2024-04,NO,2.866328025,0.0310461538699482,-0.197101345012371
34.56667,-111.85611,Arizona,2024-05,NO,2.602824725806452,0.0280962650839,-0.2255653369330932
34.56667,-111.85611,Arizona,2024-06,NO,2.3227517916666667,0.0249608811618652,-0.2558192038067381
34.56667,-111.85611,Arizona,2024-07,NO,1.519445214876033,0.0159679574683636,-0.3425934946092097
34.56667,-111.85611,Arizona,2024-08,NO,1.7146317822580646,0.018153048387793,-0.3215091708303457
34.56667,-111.85611,Arizona,2024-09,NO,2.7024040583333337,0.0292110441293322,-0.2148086392932882
34.56667,-111.85611,Arizona,2024-10,NO,4.832209137096775,0.0530539642655925,0.0152558598616433
34.56667,-111.85611,Arizona,2024-11,NO,7.9141897,0.087556378197985,0.3481756757075327
34.56667,-111.85611,Arizona,2024-12,NO,10.254621080645162,0.1137572352855824,0.6009923201805739
34.6358,-92.4783,Arkansas,2024-01,NO,3.4960783440860217,0.0380961354450087,-0.1290748419310173
34.6358,-92.4783,Arkansas,2024-02,NO,2.232271129032258,0.0239479606676007,-0.2655930505027359
34.6358,-92.4783,Arkansas,2024-03,NO,2.4336200215053765,0.0262020380996765,-0.2438430638189201
34.6358,-92.4783,Arkansas,2024-04,NO,1.872450310344828,0.0199198084536388,-0.304461394494527
34.6358,-92.4783,Arkansas,2024-05,NO,1.0616870752688172,0.0108434083379264,-0.392041163869146
34.6358,-92.4783,Arkansas,2024-06,NO,1.1041183220338984,0.011318421210226,-0.3874576817313367
34.6358,-92.4783,Arkansas,2024-07,NO,1.6935673018867925,0.0179172339800747,-0.3237845852215016
34.6358,-92.4783,Arkansas,2024-08,NO,1.399591529411765,0.0146262093999347,-0.3555402559786674
34.6358,-92.4783,Arkansas,2024-10,NO,1.7488230833333336,0.0185358160264944,-0.317815779056717
34.6358,-92.4783,Arkansas,2024-11,NO,1.3398580357142855,0.0139574998856745,-0.3619927508324518
34.6358,-92.4783,Arkansas,2024-12,NO,0.897613,0.0090066181489686,-0.409764673089504
37.16611,-119.44944,California,2024-01,NO,6.59295024890656,0.0727652562181336,0.2054535573266181
37.16611,-119.44944,California,2024-02,NO,3.5927281400843887,0.0391781186697425,-0.1186345968909873
37.16611,-119.44944,California,2024-03,NO,2.451715991008991,0.0264046203735028,-0.24188831208972
