sitename,itemname,itemengname,itemunit,monitormonth,concentration
大里,氮氧化物,NOx,ppb,2023-01,18
大里,一氧化氮,NO,ppb,2023-01,3.4
大里,二氧化氮,NO2,ppb,2023-01,14.5
大里,風速,WIND_SPEED,m/sec,2023-01,1.5
大里,溫度,AMB_TEMP,℃,2023-01,17.7
大里,細懸浮微粒,PM2.5,μg/m3,2023-01,18
大里,相對濕度,RH,%,2023-01,71
忠明,二氧化硫,SO2,ppb,2023-01,1.3
忠明,一氧化碳,CO,ppm,2023-01,0.36
忠明,臭氧,O3,ppb,2023-01,28.8
忠明,懸浮微粒,PM10,μg/m3,2023-01,33
忠明,氮氧化物,NOx,ppb,2023-01,15.5
忠明,一氧化氮,NO,ppb,2023-01,2.7
忠明,二氧化氮,NO2,ppb,2023-01,12.8
忠明,風速,WIND_SPEED,m/sec,2023-01,1.7
忠明,溫度,AMB_TEMP,℃,2023-01,17.5
忠明,細懸浮微粒,PM2.5,μg/m3,2023-01,18
忠明,相對濕度,RH,%,2023-01,77
西屯,二氧化硫,SO2,ppb,2023-01,0.9
西屯,一氧化碳,CO,ppm,2023-01,0.3
西屯,臭氧,O3,ppb,2023-01,31.2
西屯,懸浮微粒,PM10,μg/m3,2023-01,36
西屯,氮氧化物,NOx,ppb,2023-01,13.8
西屯,一氧化氮,NO,ppb,2023-01,2.5
西屯,二氧化氮,NO2,ppb,2023-01,11.2
西屯,風速,WIND_SPEED,m/sec,2023-01,2.6
西屯,溫度,AMB_TEMP,℃,2023-01,17.9
西屯,細懸浮微粒,PM2.5,μg/m3,2023-01,18
西屯,相對濕度,RH,%,2023-01,76
彰化,二氧化硫,SO2,ppb,2023-01,1
彰化,一氧化碳,CO,ppm,2023-01,0.36
彰化,臭氧,O3,ppb,2023-01,29.5
彰化,懸浮微粒,PM10,μg/m3,2023-01,41
彰化,氮氧化物,NOx,ppb,2023-01,14.5
彰化,一氧化氮,NO,ppb,2023-01,2.4
彰化,二氧化氮,NO2,ppb,2023-01,12
彰化,風速,WIND_SPEED,m/sec,2023-01,2.1
彰化,溫度,AMB_TEMP,℃,2023-01,18
彰化,細懸浮微粒,PM2.5,μg/m3,2023-01,20
彰化,相對濕度,RH,%,2023-01,73
線西,二氧化硫,SO2,ppb,2023-01,2.2
線西,一氧化碳,CO,ppm,2023-01,0.34
線西,臭氧,O3,ppb,2023-01,31.9
線西,懸浮微粒,PM10,μg/m3,2023-01,43
線西,氮氧化物,NOx,ppb,2023-01,12.2
線西,一氧化氮,NO,ppb,2023-01,1.8
線西,二氧化氮,NO2,ppb,2023-01,10.2
線西,風速,WIND_SPEED,m/sec,2023-01,5.1
線西,溫度,AMB_TEMP,℃,2023-01,16.7
線西,細懸浮微粒,PM2.5,μg/m3,2023-01,20
線西,相對濕度,RH,%,2023-01,78
二林,二氧化硫,SO2,ppb,2023-01,2
二林,一氧化碳,CO,ppm,2023-01,0.32
二林,臭氧,O3,ppb,2023-01,33.8
二林,懸浮微粒,PM10,μg/m3,2023-01,63
二林,氮氧化物,NOx,ppb,2023-01,9.3
二林,一氧化氮,NO,ppb,2023-01,1.1
二林,二氧化氮,NO2,ppb,2023-01,8.1
二林,風速,WIND_SPEED,m/sec,2023-01,3.8
二林,溫度,AMB_TEMP,℃,2023-01,17.4
二林,細懸浮微粒,PM2.5,μg/m3,2023-01,21
二林,相對濕度,RH,%,2023-01,79
南投,二氧化硫,SO2,ppb,2023-01,1.5
南投,一氧化碳,CO,ppm,2023-01,0.38
南投,臭氧,O3,ppb,2023-01,23.6
南投,懸浮微粒,PM10,μg/m3,2023-01,40
南投,氮氧化物,NOx,ppb,2023-01,15.4
南投,一氧化氮,NO,ppb,2023-01,2.7
南投,二氧化氮,NO2,ppb,2023-01,12.6
南投,風速,WIND_SPEED,m/sec,2023-01,1.3
南投,溫度,AMB_TEMP,℃,2023-01,17.8
南投,細懸浮微粒,PM2.5,μg/m3,2023-01,22
南投,相對濕度,RH,%,2023-01,69
斗六,二氧化硫,SO2,ppb,2023-01,1.5
斗六,一氧化碳,CO,ppm,2023-01,0.35
斗六,臭氧,O3,ppb,2023-01,27.7
斗六,懸浮微粒,PM10,μg/m3,2023-01,54
斗六,氮氧化物,NOx,ppb,2023-01,11.9
斗六,一氧化氮,NO,ppb,2023-01,1.8
斗六,二氧化氮,NO2,ppb,2023-01,9.9
斗六,風速,WIND_SPEED,m/sec,2023-01,1.5
斗六,溫度,AMB_TEMP,℃,2023-01,17.8
斗六,細懸浮微粒,PM2.5,μg/m3,2023-01,28
斗六,相對濕度,RH,%,2023-01,75
崙背,二氧化硫,SO2,ppb,2023-01,1.5
崙背,一氧化碳,CO,ppm,2023-01,0.28
崙背,臭氧,O3,ppb,2023-01,31.9
崙背,懸浮微粒,PM10,μg/m3,2023-01,56
崙背,氮氧化物,NOx,ppb,2023-01,9.2
崙背,一氧化氮,NO,ppb,2023-01,1.2
崙背,二氧化氮,NO2,ppb,2023-01,7.9
崙背,風速,WIND_SPEED,m/sec,2023-01,1.8
崙背,溫度,AMB_TEMP,℃,2023-01,17.4
崙背,細懸浮微粒,PM2.5,μg/m3,2023-01,25
崙背,相對濕度,RH,%,2023-01,78
新港,二氧化硫,SO2,ppb,2023-01,1.5
新港,一氧化碳,CO,ppm,2023-01,0.3
新港,臭氧,O3,ppb,2023-01,33.3
新港,懸浮微粒,PM10,μg/m3,2023-01,55
新港,氮氧化物,NOx,ppb,2023-01,9.6
新港,一氧化氮,NO,ppb,2023-01,1.7
新港,二氧化氮,NO2,ppb,2023-01,7.8
新港,風速,WIND_SPEED,m/sec,2023-01,2.8
新港,溫度,AMB_TEMP,℃,2023-01,17.3
新港,細懸浮微粒,PM2.5,μg/m3,2023-01,25
新港,相對濕度,RH,%,2023-01,79
朴子,二氧化硫,SO2,ppb,2023-01,1.5
朴子,一氧化碳,CO,ppm,2023-01,0.28
朴子,臭氧,O3,ppb,2023-01,34.4
朴子,懸浮微粒,PM10,μg/m3,2023-01,51
朴子,氮氧化物,NOx,ppb,2023-01,7.8
朴子,一氧化氮,NO,ppb,2023-01,1.1
朴子,二氧化氮,NO2,ppb,2023-01,6.6
朴子,風速,WIND_SPEED,m/sec,2023-01,1.8
朴子,溫度,AMB_TEMP,℃,2023-01,17.3
朴子,細懸浮微粒,PM2.5,μg/m3,2023-01,23
朴子,相對濕度,RH,%,2023-01,82
臺西,二氧化硫,SO2,ppb,2023-01,1.4
臺西,一氧化碳,CO,ppm,2023-01,0.24
臺西,臭氧,O3,ppb,2023-01,39.3
臺西,懸浮微粒,PM10,μg/m3,2023-01,42
臺西,氮氧化物,NOx,ppb,2023-01,6.7
臺西,一氧化氮,NO,ppb,2023-01,1.1
臺西,二氧化氮,NO2,ppb,2023-01,5.4
臺西,風速,WIND_SPEED,m/sec,2023-01,5.9
臺西,溫度,AMB_TEMP,℃,2023-01,17
臺西,細懸浮微粒,PM2.5,μg/m3,2023-01,20
臺西,相對濕度,RH,%,2023-01,87
嘉義,二氧化硫,SO2,ppb,2023-01,2.4
嘉義,一氧化碳,CO,ppm,2023-01,0.37
嘉義,臭氧,O3,ppb,2023-01,27.1
嘉義,懸浮微粒,PM10,μg/m3,2023-01,54
嘉義,氮氧化物,NOx,ppb,2023-01,13.9
嘉義,一氧化氮,NO,ppb,2023-01,1.8
嘉義,二氧化氮,NO2,ppb,2023-01,12
嘉義,風速,WIND_SPEED,m/sec,2023-01,2.1
嘉義,溫度,AMB_TEMP,℃,2023-01,17.8
嘉義,細懸浮微粒,PM2.5,μg/m3,2023-01,26
嘉義,相對濕度,RH,%,2023-01,75
新營,二氧化硫,SO2,ppb,2023-01,1.6
新營,一氧化碳,CO,ppm,2023-01,0.32
新營,臭氧,O3,ppb,2023-01,29.8
新營,懸浮微粒,PM10,μg/m3,2023-01,51
新營,氮氧化物,NOx,ppb,2023-01,12.9
新營,一氧化氮,NO,ppb,2023-01,1.8
新營,二氧化氮,NO2,ppb,2023-01,11
新營,風速,WIND_SPEED,m/sec,2023-01,2.1
新營,溫度,AMB_TEMP,℃,2023-01,17.8
新營,細懸浮微粒,PM2.5,μg/m3,2023-01,24
新營,相對濕度,RH,%,2023-01,76
善化,二氧化硫,SO2,ppb,2023-01,1.7
善化,一氧化碳,CO,ppm,2023-01,0.28
善化,臭氧,O3,ppb,2023-01,28.9
善化,懸浮微粒,PM10,μg/m3,2023-01,47
善化,氮氧化物,NOx,ppb,2023-01,12.4
善化,一氧化氮,NO,ppb,2023-01,1.5
善化,二氧化氮,NO2,ppb,2023-01,10.8
善化,風速,WIND_SPEED,m/sec,2023-01,2.6
善化,溫度,AMB_TEMP,℃,2023-01,18.2
善化,細懸浮微粒,PM2.5,μg/m3,2023-01,24
善化,相對濕度,RH,%,2023-01,72
安南,二氧化硫,SO2,ppb,2023-01,1.1
安南,一氧化碳,CO,ppm,2023-01,0.34
安南,臭氧,O3,ppb,2023-01,30.4
安南,懸浮微粒,PM10,μg/m3,2023-01,53
安南,氮氧化物,NOx,ppb,2023-01,11.9
安南,一氧化氮,NO,ppb,2023-01,1.7
安南,二氧化氮,NO2,ppb,2023-01,10.1
安南,風速,WIND_SPEED,m/sec,2023-01,2.6
